country,bag_num,bag_weight,harvest_year,grading_date,processing_method,aroma,flavor,aftertaste,acidity,body,balance,uniformity,clean_cup,sweetness,moisture,cat_1_defects,quakers,color,cat_2_defects,expiration,altitude,species,total_quality
Kenya,1280,60,2025,2025-01-21,Washed/Wet,8.17,7.92,7.75,7.75,7.83,7.83,10.0,10.0,10.0,0.11,0,0,Green,5,2026-01-21,1950.0,Arabica,7.875
"Tanzania, United Republic Of",600,30,2026,2025-09-04,Washed/Wet,7.92,7.92,7.67,7.83,7.92,7.83,10.0,10.0,10.0,0.112,0,0,Green,5,2026-09-04,1624.0,Arabica,7.848333333333333
Thailand,4,25,2025,2025-08-26,Washed/Wet,7.92,7.92,7.83,7.83,7.75,7.83,10.0,10.0,10.0,0.126,0,0,Green,0,2026-08-26,1200.0,Arabica,7.846666666666667
Thailand,20,15,2025,2025-08-26,Natural/Dry,8.0,8.0,7.75,7.75,8.0,7.67,10.0,10.0,10.0,0.139,0,0,Yellow,0,2026-08-26,1400.0,Arabica,7.861666666666667
Thailand,2,25,2024,2024-10-29,Washed/Wet,7.92,7.92,7.75,7.92,7.67,7.83,10.0,10.0,10.0,0.103,0,0,,0,2025-10-29,1200.0,Arabica,7.835
Thailand,10,100,2025,2025-09-23,Natural/Dry,8.0,8.0,7.83,7.83,7.58,7.83,10.0,10.0,10.0,0.106,0,0,Green,4,2026-09-23,1300.0,Arabica,7.844999999999999
Taiwan,1,8,2024,2024-10-29,Natural/Dry,7.83,7.83,7.83,7.83,7.75,7.92,10.0,10.0,10.0,0.112,0,0,Green,3,2025-10-29,180.0,Arabica,7.831666666666667
Colombia,375,70,2025,2025-09-25,Washed/Wet,8.08,7.83,7.67,7.92,7.92,7.75,10.0,10.0,10.0,0.105,0,0,Green,2,2026-09-25,1450.0,Arabica,7.861666666666667
Thailand,1,10,2023,2024-10-29,Washed/Wet,7.83,7.92,7.92,7.92,7.92,7.83,10.0,10.0,10.0,0.108,0,0,,0,2025-10-29,1480.0,Arabica,7.890000000000001
Guatemala,300,30,2025,2025-05-19,Washed/Wet,7.75,8.0,7.67,8.0,7.83,7.92,10.0,10.0,10.0,0.111,0,1,Green,2,2026-05-19,1350.0,Arabica,7.861666666666667
Taiwan,1,5,2025,2025-07-15,Washed/Wet,7.75,7.83,7.83,7.92,7.58,7.92,10.0,10.0,10.0,0.108,0,0,Green,0,2026-07-15,780.0,Arabica,7.805
Taiwan,1,8,2024,2024-10-29,Natural/Dry,7.92,8.08,7.75,7.92,7.67,7.75,10.0,10.0,10.0,0.096,0,0,Green,0,2025-10-29,900.0,Arabica,7.848333333333334
Taiwan,1,2,2025,2025-09-26,Natural/Dry,7.75,8.0,7.92,7.92,7.67,7.92,10.0,10.0,10.0,0.093,0,0,Green,0,2026-09-26,1200.0,Arabica,7.863333333333334
Kenya,65,60,2025,2025-03-18,Washed/Wet,8.0,7.83,7.75,7.75,7.75,8.0,10.0,10.0,10.0,0.108,0,0,Green,5,2026-03-18,1950.0,Arabica,7.846666666666667
Thailand,3,25,2025,2025-08-26,Natural/Dry,7.83,7.92,7.83,7.83,7.83,7.83,10.0,10.0,10.0,0.116,0,0,Green,0,2026-08-26,1250.0,Arabica,7.844999999999999
Taiwan,1,8,2024,2024-10-29,Natural/Dry,7.83,7.92,7.92,8.0,7.75,7.67,10.0,10.0,10.0,0.106,0,0,Green,0,2025-10-29,1100.0,Arabica,7.848333333333334
Brazil,1600,96000,2025,2025-09-23,Natural/Dry,7.67,7.75,7.67,8.0,7.92,7.75,10.0,10.0,10.0,0.11,0,0,Green,0,2026-09-23,1100.0,Arabica,7.793333333333333
Indonesia,1,50,2025,2025-10-13,Natural/Dry,7.92,7.92,7.75,8.17,7.5,7.67,10.0,10.0,10.0,0.116,0,0,Yellow-Green,1,2026-10-13,1400.0,Arabica,7.821666666666666
Taiwan,1,2,2025,2025-09-26,Honey,7.92,7.92,7.75,7.83,7.83,7.75,10.0,10.0,10.0,0.105,0,1,Green,5,2026-09-26,1100.0,Arabica,7.833333333333333
Taiwan,1,8,2024,2024-10-29,Washed/Wet,7.92,7.92,7.75,7.83,7.75,7.83,10.0,10.0,10.0,0.108,0,0,Green,0,2025-10-29,230.0,Arabica,7.833333333333333
Taiwan,1,2,2025,2025-09-26,Washed/Wet,7.83,7.92,7.83,7.83,7.67,7.83,10.0,10.0,10.0,0.114,0,0,Blue-Green,0,2026-09-26,1300.0,Arabica,7.8183333333333325
Colombia,375,70,2025,2025-09-26,Washed/Wet,7.92,7.92,7.83,7.92,7.75,7.75,10.0,10.0,10.0,0.101,0,0,Green,4,2026-09-26,1450.0,Arabica,7.848333333333334
Guatemala,300,30,2025,2025-05-19,Washed/Wet,7.83,7.92,7.67,7.92,7.75,7.83,10.0,10.0,10.0,0.111,0,0,Green,4,2026-05-19,1550.0,Arabica,7.82
Guatemala,115,30,2025,2025-07-02,Washed/Wet,7.83,8.0,7.67,7.75,7.83,7.83,10.0,10.0,10.0,0.112,0,1,Green,4,2026-07-02,1700.0,Arabica,7.8183333333333325
Taiwan,1,8,2024,2024-10-29,Natural/Dry,7.75,7.92,7.75,7.83,7.75,7.75,10.0,10.0,10.0,0.102,0,0,Yellow-Green,0,2025-10-29,950.0,Arabica,7.791666666666667
Thailand,2,10,2023,2024-10-29,Washed/Wet,7.75,7.83,7.92,7.83,7.75,7.75,10.0,10.0,10.0,0.104,0,0,,0,2025-10-29,1300.0,Arabica,7.805
Thailand,4,25,2025,2025-08-26,Natural/Dry,7.75,7.92,7.67,7.83,7.75,7.83,10.0,10.0,10.0,0.119,0,0,Green,0,2026-08-26,1430.0,Arabica,7.791666666666667
Thailand,20,25,2025,2025-08-26,Washed/Wet,7.67,7.75,7.67,7.92,7.83,7.92,10.0,10.0,10.0,0.115,0,0,Green,0,2026-08-26,1400.0,Arabica,7.793333333333333
Taiwan,1,8,2024,2024-10-29,Honey,7.75,7.92,7.67,7.83,7.83,7.75,10.0,10.0,10.0,0.118,0,0,Green,0,2025-10-29,130.0,Arabica,7.791666666666667
Taiwan,1,5,2025,2025-07-15,Honey,8.0,7.92,7.83,7.58,7.5,7.92,10.0,10.0,10.0,0.089,0,1,Yellow-Green,0,2026-07-15,750.0,Arabica,7.791666666666667
Taiwan,1,8,2024,2024-10-29,Natural/Dry,7.67,8.0,7.75,7.92,7.67,7.83,10.0,10.0,10.0,0.104,0,0,Green,0,2025-10-29,1350.0,Arabica,7.8066666666666675
Kenya,150,60,2025,2025-03-25,Washed/Wet,7.75,7.92,7.83,7.83,7.67,7.83,10.0,10.0,10.0,0.11,0,0,Green,5,2026-03-25,1975.0,Arabica,7.805
Ethiopia,320,60,2023,2024-11-27,Washed/Wet,7.83,7.92,7.83,7.83,7.67,7.75,10.0,10.0,10.0,0.105,0,0,Yellow-Green,1,2025-11-27,2000.0,Arabica,7.805
Vietnam,30,30,2025,2025-05-08,Washed/Wet,8.08,7.83,7.67,8.0,7.58,7.67,10.0,10.0,10.0,0.12,0,0,Green,0,2026-05-08,1600.0,Arabica,7.805
Thailand,1,10,2023,2024-10-29,Natural/Dry,8.0,7.92,7.75,7.67,7.67,7.75,10.0,10.0,10.0,0.103,0,0,Yellow-Green,0,2025-10-29,1500.0,Arabica,7.793333333333334
